id,date,text,permalink,brand
924256434820235264,2017-10-28 14:48,gave phone service 3 times still issue guyz ready change phone  one worst servic,https://twitter.com/sayedlucky/status/924256434820235264,Xiaomi
924256004941869056,2017-10-28 14:46, miindiasupport  xiaomi  redmiindia never ever buy redmi phone  purchased redmi 4 day unable access galari,https://twitter.com/sayedlucky/status/924256004941869056,Xiaomi
924169937136095234,2017-10-28 09:04,problem sides   xiaomi phone nt support 4g band operators operators also providing band per devices ,https://twitter.com/madclicx/status/924169937136095234,Xiaomi
924150279833923584,2017-10-28 07:46,thanks  xiaomiindia amazing product mi band hrx edition like call notification helps see whose calling ’ driving meeting ’ take phone pocket time  amazing battery life  miband  mibandhrx  xiaomi pictwittercomgimttvxp1r,https://twitter.com/b4u_mayank/status/924150279833923584,Xiaomi
924126752733003776,2017-10-28 06:12,phone reviews specifications price  xiaomi redmi 5a full specifications price http  wwwrokulabcom201710xiaomiredmi5afullspecificationsandpricehtml  wfqdtqzy4xqtwitter …,https://twitter.com/wisdomx13/status/924126752733003776,Xiaomi
924116807702728704,2017-10-28 05:33,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/924116807702728704,Xiaomi
924075397372837889,2017-10-28 02:48, xiaomi  mia1  redmi  note5a available  pakistan   https  phonesmartpkxiaomimia1redminote5anowavailablepakistan … via  phone smart,https://twitter.com/Phone_Smart_PK/status/924075397372837889,Xiaomi
924052914724917248,2017-10-28 01:19,hi forgot phone lock  tried many times  phone locked 2 hours  fingerprint reader workingplease contact,https://twitter.com/Sknwalker/status/924052914724917248,Xiaomi
924026463065706496,2017-10-27 23:34,xiaomi mi mix 2 review  phone performance  pricing design http  rvivly2tfwn,https://twitter.com/pridenewsza/status/924026463065706496,Xiaomi
924023160566988800,2017-10-27 23:21, xiaomiindia using mi phones since day xiaomi mi3 launched country  mi mix2 afford,https://twitter.com/AmarMehta17/status/924023160566988800,Xiaomi
924007999626203136,2017-10-27 22:20,liked  youtube video http  youtubez8diom7lcic  download miui paid theme without credit apply easily xiaomi phon,https://twitter.com/Tousifbinparves/status/924007999626203136,Xiaomi
923938633739993088,2017-10-27 17:45,bhai mujhe toh chahiye hi nahi naya phone haan magar aaj ke baad  xiaomiindia ka koi phone nai lena warning goes everyone buy xiaomi phones consider s reliability first ,https://twitter.com/Pahuja_simar/status/923938633739993088,Xiaomi
923900740279529472,2017-10-27 15:14,buying lenovo motorola phones xiaomi samsung great phones good price upd,https://twitter.com/AkashKShetty/status/923900740279529472,Xiaomi
923847708049276930,2017-10-27 11:43,top phone china xiaomi  huawei  meizu  craig brown  phd twitter   lg u … https  twittercomiwebstatus923769504500297728 …  see http  tweetedtimescomv413  stnp,https://twitter.com/ls1900/status/923847708049276930,Xiaomi
923842995073400832,2017-10-27 11:25,put perspective   xiaomi good run sold 4 million phones india diwali month   iphonexpictwittercomp4zuveoltk,https://twitter.com/Smartprix/status/923842995073400832,Xiaomi
923816861531242497,2017-10-27 09:41,look fucking essential phone xiaomi mi mix 2 phones know ,https://twitter.com/mounteery/status/923816861531242497,Xiaomi
923771892212871168,2017-10-27 06:42,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/923771892212871168,Xiaomi
923709920502939648,2017-10-27 02:36,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/923709920502939648,Xiaomi
923698779852750848,2017-10-27 01:52,ni mentol xiaomi  bleh control tukar2 warna kat phone hahahaha,https://twitter.com/ibnjamalullail/status/923698779852750848,Xiaomi
923634511400833024,2017-10-26 21:36,xiaomi mi mix 2 review  phone performance  pricing design https  wwwpridenewscoza20171026xiaomimimix2reviewaphoneforperformancepricinganddesign …,https://twitter.com/pridenewsza/status/923634511400833024,Xiaomi
923586811082940417,2017-10-26 18:27, xiaomi  xiaomiindia buy mi 4 phone last month yesterday touch working today going service center charge 6000,https://twitter.com/kunal8130/status/923586811082940417,Xiaomi
923573111353614342,2017-10-26 17:32,diehard fan xiaomi products  bought 25 phone since last year  family friends   xiaomiindia  amazonin  flipkart,https://twitter.com/gsrana4580/status/923573111353614342,Xiaomi
923561248142147584,2017-10-26 16:45,wifi krack attacks  jio phone prebookings  xiaomi redmi 5a launch   360 daily http  dlvritpxjqgk  gadgets  tech  newspictwittercom9fzozttpvz,https://twitter.com/CocoGadgets/status/923561248142147584,Xiaomi
923561108819939330,2017-10-26 16:45,brands like karbonn  micromax  xiaomi  making  androidone phones  androidoreo   vmaghttp  mnsvmagcomnews20171015androidonekarbonnxiaomiandroid8oreo …,https://twitter.com/mnsvmag/status/923561108819939330,Xiaomi
923559281718431746,2017-10-26 16:37,nt think ll b able go back standard androids xiaomi miui love system aesthetic phone much,https://twitter.com/alexandra_twt/status/923559281718431746,Xiaomi
923551326629380096,2017-10-26 16:06,bought redmi 4 4 months ago trust phone smart enough restarts every 20 mins letting know went wrong  like small kid hiding s mom  great work  xiaomi    xiaomi  xiaomiusa  xiaomiindia,https://twitter.com/Pahuja_simar/status/923551326629380096,Xiaomi
923541975294386177,2017-10-26 15:29, hbarra 3 years old  mi3 letting buy new phone  still works flawless gets latest updates   thanku  xiaomi  xiaomiindia,https://twitter.com/brahmverma/status/923541975294386177,Xiaomi
923539069111500800,2017-10-26 15:17,multifunctional mobile phone bag xiaomi 5 case iphone 6 6s case iphone 7 real leather mobile phone case pictwittercomqbi6iusgn,https://twitter.com/TheSmartShoping/status/923539069111500800,Xiaomi
923530095376994304,2017-10-26 14:41,samsung sold 94mn phones  xiaomi sold 92mn  samsung yoy growth 30   xiaomi  290   ,https://twitter.com/rajupp/status/923530095376994304,Xiaomi
923526736582672385,2017-10-26 14:28,liked  youtube video http  youtubecimom4xyvg  mi a1 unboxing first impression xiaomi a1 android one phone unbox,https://twitter.com/heyinayak/status/923526736582672385,Xiaomi
