username;date;text;hashtags;id;permalink,,,,,,,,,,,,
";2017-12-30 18:43;""Never had fun with any phone like I've had with a Huawei phone. @ HuaweiMobile Battery all day Speed Apps Great SPEAKERS And the slimness kills me."";;""947161334478712833"";https://twitter.com/RuhangArinda_/status/947161334478712833",,,,,,,,,,,,
";2017-12-30 18:39;""You're wasting your time", you won't get an answer. I have a Honor 8 and a Honor 8 PRO, and neither of them has ever had an update. Huawei treat their users like shit. That's why I just bought a OnePlus 5T," because it gets regular updates. I'll never buy another Huawei phone!"";;""947160284564729856"";https://twitter.com/DaddyBlackery/status/947160284564729856",,,,,,,,,
";2017-12-30 18:35;""I should buy Huawei Mate 10 pro", the phone is really a beast," S8 plus and Note 8 killer"";;""947159231903469568"";https://twitter.com/punjabified/status/947159231903469568",,,,,,,,,,
";2017-12-30 18:28;""We are at the point where the next generation of phones that will come from the likes of Xiaomi and Huawei will rival if not exceed what Apple can offer. They are really only lagging in camera quality and features."";;""947157468475424768"";https://twitter.com/codylusnia/status/947157468475424768",,,,,,,,,,,,
";2017-12-30 18:22;""Oh no D: This phone looks relatively cheap? :c AT&T GoPhone Huawei Ascend XT Android Smartphone Cell Phone. Unlimited Talk", Text," and Data Usage. No Annual Contract. https://www.amazon.com/dp/B01M5HHBXS/ref=cm_sw_r_other_apa_sS8rAbYMN88KY �?;;""947156048498044929"";https://twitter.com/unIDedTypingObj/status/947156048498044929",,,,,,,,,,
";2017-12-30 18:08;""The way my sister spoils and replaces phones"," you'd think they cost K10. Huawei phones are fucking expensive ."";;""947152438729076736"";https://twitter.com/Chi_lufyaQT3/status/947152438729076736",,,,,,,,,,,
";2017-12-30 17:28;""Huawei Nova 2i / Mate 10 Lite - Best midrange phone you can buy in PH rn - Costs Php 15990 - 64GB/6GB RAM is cool - has microSD slot - has dual cameras but don't expect too much - Better performer than Vivo V7+ and Oppo F5 (imho) - Great batt life (-+ 8 hours) - Slow charging tho pic.twitter.com/eZVhERyQ8F"";;""947142278316941312"";https://twitter.com/peanutBITTER_/status/947142278316941312",,,,,,,,,,,,
";2017-12-30 16:49;""Bought a new phone # HuaweiMate9 # Huawei and I'm amazed"";# #;""947132524546920448"";https://twitter.com/pearl_leving/status/947132524546920448",,,,,,,,,,,,
";2017-12-30 16:17;""The galaxy flagship phones are doing just fine . However", if you need something unconventional," daring and impeccable...i suggest your try Huawei"";;""947124595571773440"";https://twitter.com/alwy001/status/947124595571773440",,,,,,,,,,
";2017-12-30 15:15;""Unboxing the S$2",298 Porsche Design Huawei Mate 10: Why does this phone cost S$2,298? We unbox the Huawei Mate 10 Porsche Design edition and interview the JiangFe, MD for Huawei Consumer Business Group in Singapore," for some of his opinions. http://dlvr.it/Q8CZFb"";;""947108786166042624"";https://twitter.com/latest8pc/status/947108786166042624",,,,,,,,
";2017-12-30 13:42;""Many of the features you mentioned at the end are present in many other phones as well The Note8 can stretch apps to make use of the whole display and can bring town the notification panel using the fingerprint scanner I don't think these features have anything to do with the NPU"";;""947085362974871552"";https://twitter.com/MrRehaanKhan/status/947085362974871552",,,,,,,,,,,,
";2017-12-30 13:24;""@ Garmin When will you fix the connectivity issues regarding Huawei phones? I bought a Vivoactove 3 and can't even use it because of this problem."";;""947081031554920449"";https://twitter.com/Papapavvv/status/947081031554920449",,,,,,,,,,,,
";2017-12-30 12:02;""Per Phone Profit of Samsung",Apple, Xiaomi, Huawei,"Oppo and Vivo https://youtu.be/aoeXO-H04NI via @ YouTubepic.twitter.com/JtvokYjRa9"";;""947060275777171457"";https://twitter.com/TechnicalChoro/status/947060275777171457",,,,,,,,
";2017-12-30 10:46;""Yeah but other than that"," Huawei is a pretty good phone and I love it. I've been using it for years now. Nothing else compares. :P"";;""947041220928462848"";https://twitter.com/BornFangirl/status/947041220928462848",,,,,,,,,,,
";2017-12-30 10:27;""exactly the same happened to me", that's why I had to send it 4 times for he same issue to their service partner...took photos of the phone with no scratches, received it w/ scratches," sent the photos to Huawei...and so on"";;""947036513451298816"";https://twitter.com/EmyLucian/status/947036513451298816",,,,,,,,,
";2017-12-30 10:21;""# fun # fashion Rick And Morty Phone Cases For Huawei http://toonsmarkets.com/rick-and-morty-phone-cases-for-huawei/ …pic.twitter.com/4M3sbaVsUh"";# #;""947034966013173760"";https://twitter.com/ToonsMarkets/status/947034966013173760",,,,,,,,,,,,
";2017-12-30 10:07;""Who can I reach out to for support? I want this phone and I’ve tried to do research but can’t seem to know if it works with Verizon in the USA. This phone is gorgeous!!!"";;""947031471499362304"";https://twitter.com/iambicycles/status/947031471499362304",,,,,,,,,,,,
";2017-12-30 09:03;""Good to go for new year 2018. Buy your new and favorite Samsung or Huawei Mobile Phones on # Installments. # DreamWorks Installment offer is worth buy your mobile phones on # Installments.pic.twitter.com/GqkXBdrKjp"";# # #;""947015153739907072"";https://twitter.com/TechInstallment/status/947015153739907072",,,,,,,,,,,,
";2017-12-30 09:00;""Say Hello to New Year 2018 with your new favorite Samsung Mobile Phone. DreamWorks Offer Samsung and Huawei Mobile Phones on Installments at lowest ever markup rates. pic.twitter.com/DdfbJG4ZEy"";;""947014451252879360"";https://twitter.com/TechInstallment/status/947014451252879360",,,,,,,,,,,,
